"TimeOfKeyPoints/ms","Shi-Tomasi","Harris","FAST","BRISK","ORB","AKAZE","SIFT"
"image0","12.9499","11.4437","1.83658","177.115","33.1362","64.9833","127.117"
"image1","8.15906","7.91854","1.6973","151.097","7.67114","51.6956","77.5321"
"image2","8.9476","8.11804","1.30877","150.354","4.67666","54.2626","77.0115"
"image3","8.30915","8.69644","1.28902","151.643","4.45655","57.2307","80.0015"
"image4","8.35476","8.62129","1.3448","167.275","5.46763","55.2286","76.0601"
"image5","9.75071","8.47458","1.5565","161.654","4.56054","57.0763","77.6765"
"image6","8.47402","8.51622","1.32381","163.144","4.58843","55.8297","78.2713"
"image7","7.98243","8.10103","1.32386","159.242","5.4169","57.2262","78.2448"
"image8","8.88101","8.48827","1.31513","151.483","4.86291","58.9276","92.4732"
"image9","8.60523","8.67194","1.31855","150.758","4.66615","59.663","99.5435"
